id;type;registrationTime;releaseTime;local;title;topic;isActive;start;end;phase.id;phase.label;impact.value;expectedDuration.description;expectedDuration.endTime;period;summaryAdditionalTravelTime.label;summaryAdditionalTravelTime.shortLabel;summaryAdditionalTravelTime.minimumDurationInMinutes;summaryAdditionalTravelTime.maximumDurationInMinutes
6027054;DISRUPTION;2023-11-19T20:21:49+0100;2023-11-19T20:21:49+0100;FALSE;Den Haag-Rotterdam;disruption_6027054_nl;TRUE;2023-11-19T20:19:54+0100;2023-11-19T21:00:00+0100;1b;Gevolgen bekend;3;Dit duurt tot ongeveer 21:00 uur.;2023-11-19T21:00:00+0100;;;;;
7004100;MAINTENANCE;2023-11-11T14:32:27+0100;2023-11-11T14:32:27+0100;FALSE;Alkmaar - Den Helder.;;TRUE;2023-11-11T00:20:00+0100;2023-11-20T04:50:00+0100;;;4;;;Zaterdag 11-11-2023 00:20 uur t/m maandag 20-11-2023 04:50 uur.;De extra reistijd is ongeveer 30 minuten.;extra reistijd 30 min.;30.0;30.0
7004120;MAINTENANCE;2023-11-03T11:56:03+0100;2023-11-03T11:56:03+0100;FALSE;Schiphol Airport.;;TRUE;2023-11-12T04:00:00+0100;2023-12-04T02:00:00+0100;;;2;;;Zondag 12-11-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004107;MAINTENANCE;2023-10-15T13:44:21+0200;2023-10-15T13:44:21+0200;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7004021;MAINTENANCE;2023-11-14T09:08:05+0100;2023-11-14T09:08:05+0100;FALSE;Amersfoort - Ede-Wageningen.;;TRUE;2023-11-13T04:00:00+0100;2023-11-20T02:00:00+0100;;;4;;;Maandag 13-11-2023 04:00 uur t/m maandag 20-11-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004081;MAINTENANCE;2023-10-16T10:54:59+0200;2023-10-16T10:54:59+0200;FALSE;Amsterdam - Hannover - Berlin.;;TRUE;2023-11-17T04:00:00+0100;2023-11-20T02:00:00+0100;;;2;;;Vrijdag 17-11-2023 04:00 uur t/m maandag 20-11-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004151;MAINTENANCE;2023-10-26T15:17:24+0200;2023-10-26T15:17:24+0200;FALSE;Zutphen - Hengelo.;;TRUE;2023-11-17T04:00:00+0100;2023-11-22T02:00:00+0100;;;4;;;Vrijdag 17-11-2023 04:00 uur t/m woensdag 22-11-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004150;MAINTENANCE;2023-10-26T14:56:44+0200;2023-10-26T14:56:44+0200;FALSE;Deventer - Almelo;;;;;;;;;;;;;;
7004142;MAINTENANCE;2023-10-20T14:46:23+0200;2023-10-20T14:46:23+0200;FALSE;Schiphol - Amersfoort;;;;;;;;;;;;;;
7003931;MAINTENANCE;2023-10-13T12:03:26+0200;2023-10-13T12:03:26+0200;FALSE;Heerlen - Aachen Hbf.;;TRUE;2023-11-18T04:00:00+0100;2023-11-19T22:30:00+0100;;;2;;;Zaterdag 18-11-2023 04:00 uur t/m zondag 19-11-2023 22:30 uur.;De extra reistijd is ongeveer 30 minuten.;extra reistijd 30 min.;30.0;30.0
7003872;MAINTENANCE;2023-10-25T10:35:07+0200;2023-10-25T10:35:07+0200;FALSE;Maastricht - Liège / Luik.;;TRUE;2023-11-18T04:00:00+0100;2023-11-20T02:00:00+0100;;;2;;;Zaterdag 18-11-2023 04:00 uur t/m maandag 20-11-2023 02:00 uur.;De extra reistijd is ongeveer 30 minuten.;extra reistijd 30 min.;30.0;30.0
7004102;MAINTENANCE;2023-10-20T10:26:31+0200;2023-10-20T10:26:31+0200;FALSE;Sittard - Maastricht;;;;;;;;;;;;;;
7004188;MAINTENANCE;2023-11-06T14:35:51+0100;2023-11-06T14:35:51+0100;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;TRUE;2023-11-18T06:00:00+0100;2023-11-19T23:59:00+0100;;;2;;;Zaterdag 18-11-2023 06:00 uur t/m zondag 19-11-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004040;MAINTENANCE;2023-10-25T16:55:23+0200;2023-10-25T16:55:23+0200;FALSE;Breukelen - Rotterdam.;;TRUE;2023-11-18T06:00:00+0100;2023-11-20T01:00:00+0100;;;4;;;Zaterdag 18-11-2023 06:00 uur t/m maandag 20-11-2023 01:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004153;MAINTENANCE;2023-10-26T12:27:02+0200;2023-10-26T12:27:02+0200;FALSE;Almelo - Hardenberg.;;TRUE;2023-11-18T07:15:00+0100;2023-11-20T02:00:00+0100;;;4;;;Zaterdag 18-11-2023 07:15 uur t/m maandag 20-11-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004222;MAINTENANCE;2023-11-17T20:59:20+0100;2023-11-17T20:59:20+0100;FALSE;Utrecht - Spoorwegmuseum.;;TRUE;2023-11-18T08:00:00+0100;2023-12-09T18:00:00+0100;;;3;;;Zaterdag 18-11-2023 08:00 uur t/m zaterdag 09-12-2023 18:00 uur.;;;;
7004210;MAINTENANCE;2023-11-14T10:59:21+0100;2023-11-14T10:59:21+0100;FALSE;Den Haag - Rotterdam.;;FALSE;2023-11-20T00:20:00+0100;2023-11-20T05:00:00+0100;;;3;;;Maandag 20-11-2023 00:20 uur t/m maandag 20-11-2023 05:00 uur.;De extra reistijd kan oplopen tot 15 minuten.;extra reistijd tot 15 min.;;15.0
7004110;MAINTENANCE;2023-10-16T11:01:56+0200;2023-10-16T11:01:56+0200;FALSE;Amsterdam - Hannover - Berlin.;;FALSE;2023-11-20T04:00:00+0100;2023-11-22T02:00:00+0100;;;2;;;Maandag 20-11-2023 04:00 uur t/m woensdag 22-11-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004108;MAINTENANCE;2023-11-14T09:21:01+0100;2023-11-14T09:21:01+0100;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7003970;MAINTENANCE;2023-10-13T12:10:25+0200;2023-10-13T12:10:25+0200;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-11-20T06:00:00+0100;2023-11-22T20:00:00+0100;;;2;;;Maandag 20-11-2023 06:00 uur t/m woensdag 22-11-2023 20:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7003874;MAINTENANCE;2023-10-13T12:11:02+0200;2023-10-13T12:11:02+0200;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;FALSE;2023-11-20T13:20:00+0100;2023-11-24T14:10:00+0100;;;2;;;Maandag 20-11-2023 13:20 uur t/m vrijdag 24-11-2023 14:10 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004212;MAINTENANCE;2023-11-14T10:57:27+0100;2023-11-14T10:57:27+0100;FALSE;Utrecht - Rotterdam.;;FALSE;2023-11-21T00:00:00+0100;2023-11-21T01:40:00+0100;;;3;;;Dinsdag 21-11-2023 00:00 uur t/m dinsdag 21-11-2023 01:40 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004211;MAINTENANCE;2023-11-14T10:58:19+0100;2023-11-14T10:58:19+0100;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7004213;MAINTENANCE;2023-11-14T11:00:49+0100;2023-11-14T11:00:49+0100;FALSE;Utrecht - Rotterdam.;;FALSE;2023-11-22T00:00:00+0100;2023-11-22T01:40:00+0100;;;3;;;Woensdag 22-11-2023 00:00 uur t/m woensdag 22-11-2023 01:40 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004214;MAINTENANCE;2023-11-14T11:02:10+0100;2023-11-14T11:02:10+0100;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7004221;MAINTENANCE;2023-11-16T14:49:31+0100;2023-11-16T14:49:31+0100;FALSE;Deventer - Almelo.;;FALSE;2023-11-22T08:30:00+0100;2023-12-08T17:00:00+0100;;;2;;;Woensdag 22-11-2023 08:30 uur t/m vrijdag 08-12-2023 17:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004111;MAINTENANCE;2023-10-30T09:33:21+0100;2023-10-30T09:33:21+0100;FALSE;Amsterdam - Hannover - Berlin.;;FALSE;2023-11-22T08:35:00+0100;2023-11-22T12:35:00+0100;;;2;;;Woensdag 22-11-2023 08:35 uur t/m woensdag 22-11-2023 12:35 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004216;MAINTENANCE;2023-11-14T11:04:50+0100;2023-11-14T11:04:50+0100;FALSE;Utrecht - Rotterdam.;;FALSE;2023-11-23T00:00:00+0100;2023-11-23T04:00:00+0100;;;3;;;Donderdag 23-11-2023 00:00 uur t/m donderdag 23-11-2023 04:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004215;MAINTENANCE;2023-11-14T11:03:26+0100;2023-11-14T11:03:26+0100;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7004143;MAINTENANCE;2023-10-27T10:53:17+0200;2023-10-27T10:53:17+0200;FALSE;Almere - Lelystad.;;FALSE;2023-11-24T00:30:00+0100;2023-11-24T04:50:00+0100;;;2;;;Vrijdag 24-11-2023 00:30 uur t/m vrijdag 24-11-2023 04:50 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004218;MAINTENANCE;2023-11-14T15:54:51+0100;2023-11-14T15:54:51+0100;FALSE;Den Haag - Rotterdam.;;FALSE;2023-11-24T01:00:00+0100;2023-11-24T05:00:00+0100;;;3;;;Vrijdag 24-11-2023 01:00 uur t/m vrijdag 24-11-2023 05:00 uur.;De extra reistijd is ongeveer 30 minuten.;extra reistijd 30 min.;30.0;30.0
7004069;MAINTENANCE;2023-10-30T10:09:33+0100;2023-10-30T10:09:33+0100;FALSE;Roosendaal - Vlissingen.;;FALSE;2023-11-24T04:00:00+0100;2023-11-27T02:00:00+0100;;;4;;;Vrijdag 24-11-2023 04:00 uur t/m maandag 27-11-2023 02:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004109;MAINTENANCE;2023-10-30T09:33:51+0100;2023-10-30T09:33:51+0100;FALSE;Arnhem - Duisburg - Düsseldorf.;;FALSE;2023-11-24T21:00:00+0100;2023-12-03T23:59:00+0100;;;4;;;Vrijdag 24-11-2023 21:00 uur t/m zondag 03-12-2023 23:59 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004104;MAINTENANCE;2023-11-14T09:23:09+0100;2023-11-14T09:23:09+0100;FALSE;Rotterdam Centraal.;;FALSE;2023-11-25T00:30:00+0100;2023-11-27T05:00:00+0100;;;5;;;Zaterdag 25-11-2023 00:30 uur t/m maandag 27-11-2023 05:00 uur.;De extra reistijd ligt tussen 30 en 45 minuten.;extra reistijd: 30-45 min.;30.0;45.0
7004164;MAINTENANCE;2023-10-27T14:09:21+0200;2023-10-27T14:09:21+0200;FALSE;Utrecht - Rhenen;;;;;;;;;;;;;;
7004031;MAINTENANCE;2023-10-30T09:32:32+0100;2023-10-30T09:32:32+0100;FALSE;Amersfoort - Ede-Wageningen.;;FALSE;2023-11-25T04:00:00+0100;2023-11-27T02:00:00+0100;;;4;;;Zaterdag 25-11-2023 04:00 uur t/m maandag 27-11-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7003873;MAINTENANCE;2023-11-06T14:22:10+0100;2023-11-06T14:22:10+0100;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;FALSE;2023-11-25T04:00:00+0100;2023-11-27T02:00:00+0100;;;2;;;Zaterdag 25-11-2023 04:00 uur t/m maandag 27-11-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004156;MAINTENANCE;2023-11-06T09:29:26+0100;2023-11-06T09:29:26+0100;FALSE;Zwolle - Emmen.;;FALSE;2023-11-25T04:00:00+0100;2023-12-04T02:00:00+0100;;;4;;;Zaterdag 25-11-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 45 minuten.;extra reistijd tot 45 min.;;45.0
7004083;MAINTENANCE;2023-10-13T12:09:54+0200;2023-10-13T12:09:54+0200;FALSE;Amsterdam - Brussel - London (HSL).;;FALSE;2023-11-25T06:00:00+0100;2023-11-26T23:59:00+0100;;;2;;;Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004066;MAINTENANCE;2023-11-06T13:45:26+0100;2023-11-06T13:45:26+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-11-25T06:00:00+0100;2023-11-26T23:59:00+0100;;;2;;;Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004163;MAINTENANCE;2023-10-30T09:26:15+0100;2023-10-30T09:26:15+0100;FALSE;Deventer - Enschede;;;;;;;;;;;;;;
7004155;MAINTENANCE;2023-10-30T09:39:14+0100;2023-10-30T09:39:14+0100;FALSE;Groningen - Eemshaven.;;FALSE;2023-11-26T23:20:00+0100;2023-11-27T05:00:00+0100;;;3;;;Zondag 26-11-2023 23:20 uur t/m maandag 27-11-2023 05:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004169;MAINTENANCE;2023-11-18T15:15:46+0100;2023-11-18T15:15:46+0100;FALSE;Den Haag - Rotterdam;;;;;;;;;;;;;;
7003876;MAINTENANCE;2023-10-31T11:41:56+0100;2023-10-31T11:41:56+0100;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;FALSE;2023-11-27T04:00:00+0100;2023-12-02T02:00:00+0100;;;2;;;Maandag 27-11-2023 04:00 uur t/m zaterdag 02-12-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004220;MAINTENANCE;2023-11-18T15:16:46+0100;2023-11-18T15:16:46+0100;FALSE;Amsterdam - Schiphol - Rotterdam (HSL).;;FALSE;2023-11-27T06:00:00+0100;2023-12-01T20:00:00+0100;;;2;;;Maandag 27-11-2023 06:00 uur t/m vrijdag 01-12-2023 20:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004166;MAINTENANCE;2023-11-06T09:29:50+0100;2023-11-06T09:29:50+0100;FALSE;Groningen - Delfzijl.;;FALSE;2023-11-27T23:20:00+0100;2023-11-28T05:00:00+0100;;;3;;;Maandag 27-11-2023 23:20 uur t/m dinsdag 28-11-2023 05:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004105;MAINTENANCE;2023-10-31T16:14:33+0100;2023-10-31T16:14:33+0100;FALSE;Rotterdam Centraal.;;FALSE;2023-12-02T00:30:00+0100;2023-12-04T05:00:00+0100;;;5;;;Zaterdag 02-12-2023 00:30 uur t/m maandag 04-12-2023 05:00 uur.;De extra reistijd ligt tussen 30 en 45 minuten.;extra reistijd: 30-45 min.;30.0;45.0
7003877;MAINTENANCE;2023-11-06T14:23:21+0100;2023-11-06T14:23:21+0100;FALSE;Amsterdam - Rotterdam - Brussel (HSL).;;FALSE;2023-12-02T04:00:00+0100;2023-12-03T23:59:00+0100;;;2;;;Zaterdag 02-12-2023 04:00 uur t/m zondag 03-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7003875;MAINTENANCE;2023-10-31T11:37:49+0100;2023-10-31T11:37:49+0100;FALSE;Roosendaal - Antwerpen - Puurs.;;FALSE;2023-12-02T04:00:00+0100;2023-12-04T02:00:00+0100;;;2;;;Zaterdag 02-12-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004084;MAINTENANCE;2023-11-06T14:25:54+0100;2023-11-06T14:25:54+0100;FALSE;Amsterdam - Brussel - London (HSL).;;FALSE;2023-12-02T06:00:00+0100;2023-12-03T23:59:00+0100;;;2;;;Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004067;MAINTENANCE;2023-11-06T13:47:23+0100;2023-11-06T13:47:23+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-12-02T06:00:00+0100;2023-12-03T23:59:00+0100;;;2;;;Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004123;MAINTENANCE;2023-11-03T11:52:59+0100;2023-11-03T11:52:59+0100;FALSE;Amsterdam - Lelystad Centrum;;;;;;;;;;;;;;
7004149;MAINTENANCE;2023-10-31T11:37:04+0100;2023-10-31T11:37:04+0100;FALSE;Amsterdam - Haarlem.;;FALSE;2023-12-03T01:15:00+0100;2023-12-03T04:00:00+0100;;;3;;;Zondag 03-12-2023 01:15 uur t/m zondag 03-12-2023 04:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004205;MAINTENANCE;2023-11-13T14:02:56+0100;2023-11-13T14:02:56+0100;FALSE;Utrecht - Arnhem;;;;;;;;;;;;;;
7004182;MAINTENANCE;2023-11-03T11:52:31+0100;2023-11-03T11:52:31+0100;FALSE;Amsterdam - Schiphol - Leiden;;;;;;;;;;;;;;
7004134;MAINTENANCE;2023-11-07T10:18:08+0100;2023-11-07T10:18:08+0100;FALSE;Utrecht - 's-Hertogenbosch;;;;;;;;;;;;;;
7004127;MAINTENANCE;2023-11-03T11:52:55+0100;2023-11-03T11:52:55+0100;FALSE;Amersfoort - Deventer.;;FALSE;2023-12-03T06:00:00+0100;2023-12-04T02:00:00+0100;;;2;;;Zondag 03-12-2023 06:00 uur t/m maandag 04-12-2023 02:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004183;MAINTENANCE;2023-11-06T13:56:21+0100;2023-11-06T13:56:21+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-12-04T07:00:00+0100;2023-12-04T08:00:00+0100;;;2;;;Maandag 04-12-2023 07:00 uur t/m maandag 04-12-2023 08:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004207;MAINTENANCE;2023-11-14T14:26:10+0100;2023-11-14T14:26:10+0100;FALSE;Amsterdam - Schiphol - Leiden;;;;;;;;;;;;;;
7004217;MAINTENANCE;2023-11-14T15:00:47+0100;2023-11-14T15:00:47+0100;FALSE;Amsterdam - Schiphol - Leiden.;;FALSE;2023-12-09T01:30:00+0100;2023-12-09T06:00:00+0100;;;3;;;Zaterdag 09-12-2023 01:30 uur t/m zaterdag 09-12-2023 06:00 uur.;De extra reistijd is ongeveer 30 minuten.;extra reistijd 30 min.;30.0;30.0
7004204;MAINTENANCE;2023-11-19T14:15:16+0100;2023-11-19T14:15:16+0100;FALSE;Alkmaar - Den Helder;;;;;;;;;;;;;;
7004223;MAINTENANCE;2023-11-19T13:39:11+0100;2023-11-19T13:39:11+0100;FALSE;Gouda - Den Haag.;;FALSE;2023-12-09T04:00:00+0100;2023-12-10T02:00:00+0100;;;3;;;Zaterdag 09-12-2023 04:00 uur t/m zondag 10-12-2023 02:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004189;MAINTENANCE;2023-11-06T14:32:18+0100;2023-11-06T14:32:18+0100;FALSE;Amsterdam - Brussel - London (HSL).;;FALSE;2023-12-09T06:00:00+0100;2023-12-09T19:30:00+0100;;;2;;;Zaterdag 09-12-2023 06:00 uur t/m zaterdag 09-12-2023 19:30 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004184;MAINTENANCE;2023-11-06T14:00:59+0100;2023-11-06T14:00:59+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-12-09T06:00:00+0100;2023-12-10T23:59:00+0100;;;2;;;Zaterdag 09-12-2023 06:00 uur t/m zondag 10-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004177;MAINTENANCE;2023-11-10T10:15:03+0100;2023-11-10T10:15:03+0100;FALSE;Nijmegen - Venlo.;;FALSE;2023-12-09T23:00:00+0100;2023-12-10T02:00:00+0100;;;3;;;Zaterdag 09-12-2023 23:00 uur t/m zondag 10-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004178;MAINTENANCE;2023-11-10T10:15:18+0100;2023-11-10T10:15:18+0100;FALSE;Nijmegen - Venlo.;;FALSE;2023-12-10T04:00:00+0100;2023-12-11T02:00:00+0100;;;3;;;Zondag 10-12-2023 04:00 uur t/m maandag 11-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004209;MAINTENANCE;2023-11-14T14:49:32+0100;2023-11-14T14:49:32+0100;FALSE;Amsterdam Zuid - Den Haag;;;;;;;;;;;;;;
7004199;MAINTENANCE;2023-11-07T13:16:21+0100;2023-11-07T13:16:21+0100;FALSE;Amsterdam - Hannover - Berlin.;;FALSE;2023-12-15T16:50:00+0100;2023-12-15T20:30:00+0100;;;2;;;Vrijdag 15-12-2023 16:50 uur t/m vrijdag 15-12-2023 20:30 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004224;MAINTENANCE;2023-11-19T14:49:53+0100;2023-11-19T14:49:53+0100;FALSE;Den Haag - Rotterdam.;;FALSE;2023-12-16T00:20:00+0100;2023-12-18T05:00:00+0100;;;4;;;Zaterdag 16-12-2023 00:20 uur t/m maandag 18-12-2023 05:00 uur.;De extra reistijd kan oplopen tot 60 minuten.;extra reistijd tot 60 min.;;60.0
7004200;MAINTENANCE;2023-11-07T13:19:42+0100;2023-11-07T13:19:42+0100;FALSE;Amsterdam - Hannover - Berlin.;;FALSE;2023-12-16T04:00:00+0100;2023-12-18T02:00:00+0100;;;2;;;Zaterdag 16-12-2023 04:00 uur t/m maandag 18-12-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;